case_id,collision_date,collision_time,latitude,longitude,collision_severity,pcf_violation_category,timestamp,sensor_id,dist_to_sensor,paper_type
7200012,2017-01-30,05:53:00,37.44465,-121.90693,fatal,unknown,2017-01-30 05:53:00,401489,0.01988074244087049,Minor
7200236,2017-03-11,16:55:00,37.27419,-121.95267,fatal,wrong side of road,2017-03-11 16:55:00,400436,0.006164065054804433,Minor
7200240,2017-03-31,21:24:00,37.39937,-121.99542,fatal,speeding,2017-03-31 21:24:00,400790,0.007907740069074774,Minor
8167123,2017-01-03,17:09:00,37.26186,-122.01372,fatal,pedestrian violation,2017-01-03 17:09:00,400582,0.016003236797601232,Minor
8195820,2017-01-01,17:04:00,37.42263,-121.87659,property damage only,improper turning,2017-01-01 17:04:00,407151,0.00581818958096447,Minor
8201348,2017-01-24,13:39:00,37.32637,-122.03224,property damage only,other than driver (or pedestrian),2017-01-24 13:39:00,400823,0.008161573500252668,Minor
8201352,2017-01-18,08:44:00,37.31567,-122.03844,property damage only,automobile right of way,2017-01-18 08:44:00,400677,0.011192680152684499,Minor
8201363,2017-01-09,08:50:00,37.33743,-122.03662,property damage only,unsafe lane change,2017-01-09 08:50:00,400823,0.00724471131239263,Minor
8201488,2017-01-27,18:11:00,37.38607,-122.05196,pain,speeding,2017-01-27 18:11:00,407325,0.016319977726715038,Minor
8201706,2017-01-28,17:38:00,37.40449,-122.02046,pain,automobile right of way,2017-01-28 17:38:00,401997,0.007881100050118743,Minor
8207916,2017-01-01,17:51:00,37.42671,-121.91319,pain,unsafe lane change,2017-01-01 17:51:00,401464,0.0034200891801247054,Minor
8207921,2017-01-01,11:30:00,37.41069,-121.89428,other injury,other hazardous violation,2017-01-01 11:30:00,407190,0.014398550100617767,Minor
8286282,2017-01-09,13:45:00,37.43067,-122.08581,property damage only,automobile right of way,2017-01-09 13:45:00,401507,0.01905448739798708,Minor
8292406,2017-01-23,16:29:00,37.32267,-122.06251,severe injury,speeding,2017-01-23 16:29:00,401846,0.009992937155810096,Minor
8292822,2017-02-09,09:40:00,37.38619,-122.03136,property damage only,speeding,2017-02-09 09:40:00,400743,0.013142928516889054,Minor
8302529,2017-01-04,17:16:00,37.41185,-122.00044,pain,speeding,2017-01-04 17:16:00,400687,0.0030665436569516764,Minor
8302533,2017-01-03,19:15:00,37.37029,-122.0572,pain,pedestrian right of way,2017-01-03 19:15:00,407336,0.009020187636631932,Minor
8302537,2017-01-02,22:03:00,37.38692,-122.04339,pain,traffic signals and signs,2017-01-02 22:03:00,404554,0.015069989316516366,Minor
8302541,2017-01-02,15:55:00,37.36194,-122.04736,other injury,traffic signals and signs,2017-01-02 15:55:00,407336,0.015394312098959749,Minor
8302560,2017-01-03,14:40:00,37.39106,-122.01222,property damage only,speeding,2017-01-03 14:40:00,400904,0.004353487452604438,Minor
8302663,2017-01-03,18:15:00,37.40116,-122.02731,property damage only,speeding,2017-01-03 18:15:00,400581,0.0023169257648828537,Minor
8302667,2017-01-02,19:51:00,37.35238,-122.05892,property damage only,dui,2017-01-02 19:51:00,407339,0.0015867280800482685,Minor
8304535,2017-01-04,19:04:00,37.43818,-121.87277,pain,unknown,2017-01-04 19:04:00,407150,0.0159698588597472,Minor
8304539,2017-01-14,,37.43052,-121.87358,property damage only,unknown,,407150,0.011330898110922813,Minor
8304540,2017-01-16,18:03:00,37.41283,-121.89867,pain,other improper driving,2017-01-16 18:03:00,402286,0.013187024683381036,Minor
8304543,2017-01-10,18:34:00,37.4367,-121.91507,property damage only,improper turning,2017-01-10 18:34:00,401489,0.009406245797343766,Minor
8304555,2017-01-26,07:23:00,37.4206,-121.90435,severe injury,pedestrian right of way,2017-01-26 07:23:00,402288,0.009859757502092234,Minor
8304559,2017-01-27,12:47:00,37.40465,-121.90304,property damage only,unsafe starting or backing,2017-01-27 12:47:00,402286,0.0069025705356704934,Minor
8304577,2017-01-11,17:19:00,37.43194,-121.90206,pain,speeding,2017-01-11 17:19:00,401489,0.015553382911770388,Minor
8304589,2017-01-29,18:19:00,37.43517,-121.88456,pain,traffic signals and signs,2017-01-29 18:19:00,407184,0.0077723376792259175,Minor
8304642,2017-01-06,16:58:00,37.41022,-121.8943,other injury,speeding,2017-01-06 16:58:00,407190,0.014491479738114285,Minor
